Financial Instrument,Company Name,
WBA NASDAQ.NMS,WALGREENS BOOTS ALLIANCE INC,
VFC NYSE,VF CORP,
PODD NASDAQ.NMS,INSULET CORP,
PFE NYSE,PFIZER INC,
PAYC NYSE,PAYCOM SOFTWARE INC,
NEE NYSE,NEXTERA ENERGY INC,
MRNA NASDAQ.NMS,MODERNA INC,
ILMN NASDAQ.NMS,ILLUMINA INC,
HRL NYSE,HORMEL FOODS CORP,
FMC NYSE,FMC CORP,
ETSY NASDAQ.NMS,ETSY INC,
ES NYSE,EVERSOURCE ENERGY,
ENPH NASDAQ.NMS,ENPHASE ENERGY INC,
EL NYSE,ESTEE LAUDER COMPANIES-CL A,
DVN NYSE,DEVON ENERGY CORP,
DG NYSE,DOLLAR GENERAL CORP,
CAG NYSE,CONAGRA BRANDS INC,
BMY NYSE,BRISTOL-MYERS SQUIBB CO,
ALB NYSE,ALBEMARLE CORP,
AES NYSE,AES CORP,
